"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.2",55,45,70,9,20,4,225,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Thelephorales.f__Thelephoraceae.g__unidentified.s__unidentified",15,146,12,145,91,0,18,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.2",56,0,217,0,0,0,115,38
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.4",0,38,0,26,360,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.2",0,0,0,0,0,313,0,108
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.4",138,0,0,0,0,280,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.5",0,0,0,0,0,0,0,417
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,417,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae.1",380,0,36,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Coniochaetales.f__Coniochaetaceae.2",293,0,44,0,0,18,0,60
"k__Fungi.p__Ascomycota.c__Sordariomycetes.2",0,201,0,201,9,0,4,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__unidentified.g__unidentified.s__unidentified.7",0,0,0,0,0,0,415,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.10",51,0,65,0,13,0,0,284
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales",41,11,0,159,0,188,9,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.s__Metarhizium_anisopliae.4",0,106,0,0,302,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.4",28,304,0,0,0,0,73,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Omphalotaceae",0,0,0,0,0,0,0,401
