"","Forest","Forest_Edge_Exterior","Forest_Edge_Interior","Grass_Far","Grass_Near","Pioneer_Far","Pioneer_Near","UMNR"
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__unidentified.g__unidentified.s__unidentified.5",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Chaetosphaeriales.f__Chaetosphaeriaceae.35",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.125",3,0,0,0,0,0,0,0
"k__Fungi.p__Kickxellomycota.c__GS19.o__unidentified.f__unidentified.g__unidentified.s__unidentified.12",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.52",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.126",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.24",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes.4",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Togniniales.f__Togniniaceae.g__Phaeoacremonium.1",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Hypoxylon.5",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthaceae.g__Diaporthe.2",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.127",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Tubeufiales.f__Tubeufiaceae.g__unidentified.s__unidentified.3",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.15",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.86",3,0,0,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.46",3,0,0,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS10.f__unidentified.g__unidentified.s__unidentified.4",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.8",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__Rhinocladiella.s__unidentified.1",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.30",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.s__unidentified.14",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.s__unidentified.15",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.20",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.84",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.53",3,0,0,0,0,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.31",3,0,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.41",3,0,0,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.47",3,0,0,0,0,0,0,0
"k__Fungi.p__Chytridiomycota.3",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.85",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.1",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Thermoascaceae.g__Thermoascus.s__Thermoascus_crustaceus.1",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.7",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.1",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.60",3,0,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.42",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreaceae.g__Trichoderma.42",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.9",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Teichosporaceae.g__Teichospora.3",3,0,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.9",3,0,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Ciliophora.s__unidentified.16",0,0,3,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.6",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.87",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.5",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Rasamsonia",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.26",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinellus.4",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.80",0,0,3,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.80",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiales_fam_Incertae_sedis.g__Chalara.s__unidentified.4",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.29",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Chaetomiaceae.38",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Bolbitiaceae.g__Conocybe.14",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascaceae.g__Scedosporium.4",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Ciliophora.s__unidentified.17",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Tremellodendropsidales.f__unidentified.g__unidentified.s__unidentified.5",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Cystofilobasidiales.f__Cystofilobasidiaceae.g__Cystofilobasidium",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.20",0,0,3,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.81",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Glomerellales.f__Glomerellaceae.g__Colletotrichum.1",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinopsis.1",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__Podospora.2",0,0,3,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.43",0,0,3,0,0,0,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.32",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.128",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.86",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.87",0,0,3,0,0,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__Branch02.f__unidentified.g__unidentified.s__unidentified.3",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.30",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Mycoleptodiscus.s__unidentified",0,0,3,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Claroideoglomeraceae.g__unidentified.s__unidentified",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Pezizomycotina_cls_Incertae_sedis.o__Pezizomycotina_ord_Incertae_sedis.f__Pezizomycotina_fam_Incertae_sedis.g__Ciliophora.s__unidentified.18",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Myxotrichaceae.g__Oidiodendron.14",0,0,3,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.44",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascales_fam_Incertae_sedis.g__Triadelphia",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.31",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.88",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.10",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.88",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.89",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Venturiales.f__Sympoventuriaceae.9",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.16",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Arthroderma",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.10",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.89",0,0,3,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.48",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Galerina.5",0,0,3,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Entolomataceae.g__Clitopilus.s__unidentified.10",0,0,3,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Trichocomaceae.g__Talaromyces.32",0,3,0,0,0,0,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.49",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Lipomycetaceae.g__Lipomyces.4",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.31",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.90",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Xylaria.3",0,3,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Psathyrellaceae.g__Coprinopsis.2",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.129",0,3,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Hymenochaetales.f__Schizoporaceae",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.81",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.130",0,3,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.45",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Ceratocystidaceae.g__Ceratocystis.s__unidentified",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.32",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.90",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.37",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.61",0,3,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__unidentified.g__unidentified.s__unidentified.9",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales.f__Magnaporthaceae.g__Mycoleptodiscus.s__unidentified.1",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__unidentified.g__unidentified.s__unidentified.18",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.73",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.91",0,3,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.11",0,3,0,0,0,0,0,0
"k__Fungi.p__Chytridiomycota.c__Spizellomycetes.o__Spizellomycetales.f__unidentified.g__unidentified.s__unidentified",0,3,0,0,0,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.46",0,3,0,0,0,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Agaricaceae.g__Chlorophyllum.1",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.131",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Penicillium.59",0,3,0,0,0,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.92",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__unidentified.f__unidentified.g__unidentified.s__unidentified.21",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.8",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.3",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Pezizomycetes.o__Pezizales.f__Ascodesmidaceae.g__Cephaliophora",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Leucosporidiales.f__Leucosporidiaceae.g__Leucosporidium.1",0,0,0,0,0,0,3,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.82",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.93",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.13",0,0,0,0,0,0,3,0
"k__Fungi.p__Rozellomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.83",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.94",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Cantharellales.f__Ceratobasidiaceae.g__unidentified.s__unidentified.6",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.33",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.34",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.f__Hydnodontaceae.g__Trechispora.s__unidentified.16",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Atractiellomycetes.o__Atractiellales",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.8",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Lecanoromycetes.o__Lecanorales.f__unidentified.g__unidentified.s__unidentified.4",0,0,0,0,0,0,3,0
"k__Fungi.p__Chytridiomycota.c__Spizellomycetes.o__Spizellomycetales.f__unidentified.g__unidentified.s__unidentified.1",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.82",0,0,0,0,0,0,3,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Gigasporales.f__Gigasporaceae.g__Gigaspora.s__Gigaspora_margarita",0,0,0,0,0,0,3,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Diversisporales.f__Acaulosporaceae.g__Acaulospora.1",0,0,0,0,0,0,3,0
"k__Fungi.p__Glomeromycota.c__Paraglomeromycetes.o__Paraglomerales.f__Paraglomeraceae.g__Paraglomus",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Onygenaceae.4",0,0,0,0,0,0,3,0
"k__Fungi.13",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.91",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.95",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.8",0,0,0,0,0,0,3,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__Kickxellaceae.g__Ramicandelaber.1",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.27",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__Thyridariaceae.11",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.g__Hypoxylon.6",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.54",0,0,0,0,0,0,3,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.50",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__unidentified.g__unidentified.s__unidentified.9",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.26",0,0,0,0,0,0,3,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Tremellales.f__Sirobasidiaceae",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.92",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Xylariales.f__Xylariaceae.16",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__unidentified.g__unidentified.s__unidentified.19",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Lasiosphaeriaceae.g__Podospora.3",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.f__Helotiaceae",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.55",0,0,0,0,0,0,3,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Pleurotheciales.f__Pleurotheciaceae.g__Phaeoisaria",0,0,0,0,0,3,0,0
"k__Fungi.p__Mortierellomycota.c__Mortierellomycetes.o__Mortierellales.f__Mortierellaceae.g__Mortierella.s__unidentified.19",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.32",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Atractiellomycetes.o__Atractiellales.f__unidentified.g__unidentified.s__unidentified.6",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.93",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Microascales.f__Microascaceae.3",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Branch06.f__unidentified.g__unidentified.s__unidentified.5",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.38",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Pluteaceae.g__Pluteus.5",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Clavicipitaceae.g__Metarhizium.14",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Microbotryomycetes.o__Microbotryomycetes_ord_Incertae_sedis.f__Chrysozymaceae.2",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.96",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.97",0,0,0,0,0,3,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.51",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__Sordariaceae.2",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.83",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.o__Helotiales.56",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Chaetothyriales.f__Herpotrichiellaceae.g__unidentified.s__unidentified.74",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.9",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.f__unidentified.g__unidentified.s__unidentified.26",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Sordariales.f__unidentified.g__unidentified.s__unidentified.27",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Tricholomataceae.g__Tricholoma.2",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.25",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Leotiomycetes.21",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Onygenaceae.g__Auxarthron.8",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae.40",0,0,0,0,0,3,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.47",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Tremellomycetes.o__Cystofilobasidiales.f__Cystofilobasidiaceae.g__Cystofilobasidium.1",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Diaporthales.f__Diaporthaceae.g__Diaporthe.3",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.84",0,0,0,0,0,3,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Trechisporales.1",0,0,0,0,0,3,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.g__unidentified.s__unidentified.52",0,0,0,0,0,3,0,0
"k__Fungi.p__Glomeromycota.c__Glomeromycetes.o__Glomerales.f__Glomeraceae.42",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Tubeufiales.f__Tubeufiaceae.7",0,0,0,0,0,3,0,0
"k__Fungi.p__Ascomycota.35",0,0,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Nannizziopsiaceae.g__Nannizziopsis.1",0,0,0,0,3,0,0,0
"k__Fungi.p__Kickxellomycota.c__Kickxellomycetes.o__Kickxellales.f__unidentified.g__unidentified.s__unidentified.13",0,0,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.132",0,0,0,0,3,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.48",0,0,0,0,3,0,0,0
"k__Fungi.p__Rozellomycota.c__Rozellomycotina_cls_Incertae_sedis.o__GS05.f__unidentified.g__unidentified.s__unidentified.5",0,0,0,0,3,0,0,0
"k__Fungi.p__Basidiomycota.c__Agaricomycetes.o__Agaricales.f__Strophariaceae.g__Deconica.1",0,0,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Hypocreales_fam_Incertae_sedis.g__Sporidesmium.s__unidentified.1",0,0,0,0,3,0,0,0
"k__Fungi.p__unidentified.c__unidentified.o__unidentified.f__unidentified.g__unidentified.s__unidentified.49",0,0,0,0,3,0,0,0
"k__Fungi.p__Glomeromycota.c__Paraglomeromycetes.o__Paraglomerales.f__Paraglomeraceae.g__Paraglomus.s__Paraglomus_brasilianum.3",0,0,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Orbiliomycetes.o__Orbiliales.f__Orbiliaceae.8",0,0,0,0,3,0,0,0
"k__Fungi.p__Ascomycota.c__Dothideomycetes.o__Pleosporales.133",0,0,0,0,3,0,0,0
